fund,metric,status,owner,detail,confidence
CCLFX,net_return_1y_pct,FILLED,-,8.912 pct,Low
CCLFX,net_return_3y_pct,insufficient_history,OURS,"history depth limited by our download cap, not by availability",
CCLFX,net_return_5y_pct,insufficient_history,OURS,"history depth limited by our download cap, not by availability",
CCLFX,management_fee_pct,FILLED,-,1 pct,Medium
CCLFX,incentive_fee_pct,FILLED,-,0 pct,Low
CCLFX,incentive_hurdle_pct,no_candidate,OURS,extraction not built for this metric on this filer type,
CCLFX,nav_per_share_usd,no_candidate,OURS,extraction not built for this metric on this filer type,
CCLFX,leverage_ratio_dte,FILLED,-,0.3186 ratio,Medium
CCLFX,distribution_yield_pct,no_candidate,OURS,extraction not built for this metric on this filer type,
TAKIX,net_return_1y_pct,class_attribution_failed,OURS,"N-PORT omits class identifiers, but the annual report's financial highlights name each class; that extraction is not built yet",
TAKIX,net_return_3y_pct,class_attribution_failed,OURS,"N-PORT omits class identifiers, but the annual report's financial highlights name each class; that extraction is not built yet",
TAKIX,net_return_5y_pct,class_attribution_failed,OURS,"N-PORT omits class identifiers, but the annual report's financial highlights name each class; that extraction is not built yet",
TAKIX,management_fee_pct,FILLED,-,1 pct,Low
TAKIX,incentive_fee_pct,no_candidate,OURS,extraction not built for this metric on this filer type,
TAKIX,incentive_hurdle_pct,below_confidence_floor,OURS,evidence too thin; needs a second corroborating source,
TAKIX,nav_per_share_usd,no_candidate,OURS,extraction not built for this metric on this filer type,
TAKIX,leverage_ratio_dte,basis_disqualified,CLIENT,"computable, withheld pending a definition the client is deciding",
TAKIX,distribution_yield_pct,no_candidate,OURS,extraction not built for this metric on this filer type,
GBDC,net_return_1y_pct,FILLED,-,8.723 pct,Low
GBDC,net_return_3y_pct,FILLED,-,11.88 pct,Low
GBDC,net_return_5y_pct,window_mismatch,STRUCTURAL,filer's tagged history does not span the labelled window,
GBDC,management_fee_pct,FILLED,-,1 pct,Medium
GBDC,incentive_fee_pct,FILLED,-,15 pct,Medium
GBDC,incentive_hurdle_pct,FILLED,-,8 pct,Low
GBDC,nav_per_share_usd,FILLED,-,14.84 usd,High
GBDC,leverage_ratio_dte,FILLED,-,1.254 ratio,Medium
GBDC,distribution_yield_pct,FILLED,-,10.43 pct,Medium
KREF,net_return_1y_pct,not_applicable,STRUCTURAL,filer does not publish this concept; no extraction would fix it,
KREF,net_return_3y_pct,not_applicable,STRUCTURAL,filer does not publish this concept; no extraction would fix it,
KREF,net_return_5y_pct,not_applicable,STRUCTURAL,filer does not publish this concept; no extraction would fix it,
KREF,management_fee_pct,no_candidate,OURS,extraction not built for this metric on this filer type,
KREF,incentive_fee_pct,FILLED,-,20 pct,Low
KREF,incentive_hurdle_pct,FILLED,-,7 pct,Low
KREF,nav_per_share_usd,FILLED,-,18.22 usd,Low
KREF,leverage_ratio_dte,FILLED,-,2.449 ratio,Medium
KREF,distribution_yield_pct,FILLED,-,5.449 pct,Medium
